uid,City Quadrant,Ward,Household Income,Household Tenancy,Highest Obtained Education,Average Age,Living with Children,Member of Visible Minority,Gender,Average Quality of Life Rating (1-10),"Change in Quality of Life in Last 3 Years ( 1 = improved, 2 = no change, 3 = worsen)",Average Living in Calgary Rating (1-10),Average Life in Cangary Rating (1-10),Average Neighbourhood Safety Rating (1-4)
zML98njL,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,32,Yes,No,Female,8,3,2,7,3
iFA85xlP,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,46,Yes,Don't Know,Female,8,2,7,6,3
xEY94kqK,Southwest,Ward 11,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,53,No,Yes,Male,7,2,10,10,3
iJH34miF,Southeast,Ward 14,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,69,No,No,Female,8,1,5,7,4
rBU48aiZ,Southeast,Ward 14,"$120,000 and over (Net)",Other,Completed university degree or post-grad degree,31,Yes,No,Female,8,1,8,7,4
aCA96vzU,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,22,No,No,Female,8,3,6,7,4
aXO25twT,Southwest,Ward 13,Don't Know,Own,Completed university degree or post-grad degree,56,No,No,Female,7,3,5,7,4
hCN28qbZ,Southwest,Ward 13,"$30,000 to just under $45,000",Own,Completed high school or less,63,No,No,Male,8,2,7,7,4
gCM93aoK,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,52,Yes,No,Male,8,1,9,10,4
eQP73nzX,Southwest,Ward 11,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,80,No,No,Female,7,3,3,3,3
dGH67nhV,Southwest,Ward 11,"$75,000 to just under $90,000",Rent,Completed university degree or post-grad degree,55,No,No,Male,8,2,8,8,4
wAT87zgR,Southwest,Ward 13,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,72,No,Yes,Male,10,1,10,10,4
aQQ68qmH,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,46,Yes,No,Female,9,2,6,7,3
bVE43mdZ,Southwest,Ward 13,"$45,000 to just under $60,000",Own,Completed high school or less,69,No,No,Male,7,2,7,9,4
jZL15ymZ,Southwest,Ward 13,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,59,Yes,No,Male,8,2,7,8,4
gXO85mmA,Southwest,Ward 11,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,69,No,Yes,Male,7,1,6,6,4
oBV71gpA,Southeast,Ward 14,Don't Know,Own,Completed high school or less,34,No,No,Male,6,2,3,3,3
eLU21icW,Northeast,Ward 9,Don't Know,Own,Some post secondary or college diploma,62,No,No,Male,5,3,3,5,3
uHH60nbY,Southwest,Ward 11,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,66,No,No,Female,8,3,7,7,2
oGZ26lvO,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Female,7,3,4,9,3
jTD68meU,Southwest,Ward 11,"$120,000 and over (Net)",Own,Some post secondary or college diploma,64,Yes,Yes,Female,9,2,7,9,2
kFH94ybO,Southeast,Ward 14,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,64,No,No,Female,7,3,8,10,4
dHF96itK,Southwest,Ward 11,"$60,000 to just under $75,000",Own,Completed high school or less,70,No,No,Male,8,3,8,10,3
lTG63maK,Southwest,Ward 13,"$120,000 and over (Net)",Own,Some post secondary or college diploma,55,No,No,Female,8,3,5,7,3
cPF27uoG,Southwest,Ward 13,"$120,000 and over (Net)",Own,Some post secondary or college diploma,63,No,No,Male,7,3,10,8,3
pRJ60miY,Southwest,Ward 11,Don't Know,Own,Completed university degree or post-grad degree,81,No,No,Male,8,2,8,8,4
wWE40qxB,Northwest,Ward 7,"$60,000 to just under $75,000",Own,Completed high school or less,54,No,No,Male,8,1,10,10,3
mEI18tiK,Southeast,Ward 14,"$120,000 and over (Net)",Own,Some post secondary or college diploma,55,No,No,Male,9,2,8,8,4
gEY91izG,Southwest,Ward 11,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,69,No,No,Male,7,3,8,4,4
oGS39eqU,Northeast,Ward 3,"$120,000 and over (Net)",Own,Some post secondary or college diploma,42,Yes,No,Female,10,1,8,8,3
rMR32smO,Southwest,Ward 11,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,91,No,No,Female,8,3,10,10,2
nYF70dlJ,Southeast,Ward 14,Don't Know,Own,Some post secondary or college diploma,80,No,No,Male,8,2,10,10,4
cRH73ahJ,Northeast,Ward 5,"Less than $30,000",Rent,Completed high school or less,55,No,No,Female,9,1,9,9,3
pRE66avC,Northwest,Ward 4,"$120,000 and over (Net)",Own,Some post secondary or college diploma,41,No,No,Male,2,3,4,3,1
rHE62qqG,Southwest,Ward 13,Don't Know,Own,Completed university degree or post-grad degree,73,No,Yes,Male,5,3,7,9,4
kPT86tmQ,Southwest,Ward 9,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,73,No,No,Female,10,3,10,10,3
iEK36xiA,Southwest,Ward 13,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,19,Yes,No,Female,8,2,9,9,3
oKL70irG,Southwest,Ward 13,"Less than $30,000",Own,Completed high school or less,72,No,No,Female,5,3,7,6,1
vLX83ndG,Northeast,Ward 10,"$120,000 and over (Net)",Own,Some post secondary or college diploma,43,No,Yes,Female,9,2,10,10,2
kIE49mvO,Northwest,Ward 1,"Less than $30,000",Rent,Completed high school or less,67,No,No,Female,5,3,4,5,4
sYL76alO,Southwest,Ward 13,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,52,No,No,Female,8,2,7,8,4
gFI77guT,Southwest,Ward 13,"$90,000 to just under $105,000",Own,Completed high school or less,53,No,No,Male,5,3,7,8,3
hKZ14cyW,Southwest,Ward 11,"$120,000 and over (Net)",Own,Some post secondary or college diploma,60,No,No,Female,8,2,10,10,4
fQH36rnZ,Northeast,Ward 3,Don't Know,Own,Completed university degree or post-grad degree,,Yes,No,Female,5,3,3,5,2
lLO35ctE,Southeast,Ward 11,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,68,No,No,Female,9,1,9,10,4
pRW21jyZ,Southeast,Ward 14,Don't Know,Own,Completed university degree or post-grad degree,59,No,No,Female,8,3,9,8,3
wPB59opA,Southeast,Ward 12,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,62,No,No,Female,4,3,2,2,3
wFB75yxW,Northwest,Ward 1,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,47,Yes,No,Female,8,2,7,9,4
nSU17ffR,Southwest,Ward 8,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,65,No,No,Female,9,2,7,9,2
wVY54uoD,Southwest,Ward 11,"$105,000 to just under $120,000",Rent,Completed university degree or post-grad degree,76,No,No,Male,8,3,4,7,4
bXY12veT,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Female,8,2,9,10,4
nPU28zoZ,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,39,Yes,No,Female,8,2,10,8,3
mJC27koQ,Southwest,Ward 11,"$105,000 to just under $120,000",Rent,Completed high school or less,34,No,No,Male,9,3,9,10,3
lVZ33dyI,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,58,No,No,Male,8,2,8,9,4
mFZ13pfB,Southwest,Ward 13,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,46,No,No,Male,9,3,10,10,4
hTV33ktB,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,58,Yes,No,Male,8,3,6,7,4
vYE85zxD,Southwest,Ward 13,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,73,No,No,Male,8,2,8,10,3
sON52gwO,Southeast,Ward 14,"$120,000 and over (Net)",Own,Completed high school or less,22,No,No,Male,10,3,8,10,4
pJU16rhE,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,78,No,No,Male,9,2,5,9,3
zDN46vuE,Southeast,Ward 12,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,44,Yes,No,Male,8,3,9,8,4
mXJ26evT,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,42,Yes,No,Male,7,1,7,7,4
pNV97nhX,Northeast,Ward 10,"Less than $30,000",Rent,Completed high school or less,77,No,Yes,Male,5,3,2,3,1
bTA91hwH,Southwest,Ward 6,"$30,000 to just under $45,000",Other,Completed high school or less,20,Yes,Yes,Female,5,3,5,4,4
jVC42fqJ,Southeast,Ward 12,"$120,000 and over (Net)",Own,Some post secondary or college diploma,22,No,No,Male,8,2,7,7,3
hAI38kbL,Southeast,Ward 14,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,52,Yes,No,Female,7,3,4,5,4
dNQ69wfF,Southeast,Ward 9,"$45,000 to just under $60,000",Own,Completed high school or less,20,Yes,No,Female,7,1,10,10,2
zSB97zmZ,Southeast,Ward 14,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,65,No,No,Female,7,2,4,5,1
gUM78zjF,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,62,No,No,Female,8,2,8,8,2
kWM80fbW,Northeast,Ward 4,Don't Know,Own,Some post secondary or college diploma,61,No,No,Female,8,3,3,2,2
rAE55gzE,Southeast,Ward 14,Don't Know,Own,Completed university degree or post-grad degree,69,No,No,Male,8,2,8,9,4
iEA85kmJ,Southeast,Ward 11,"$30,000 to just under $45,000",Own,Completed high school or less,78,No,No,Female,8,2,5,8,3
kWT22bpC,Northwest,Ward 7,Don't Know,Own,Completed university degree or post-grad degree,74,No,No,Female,8,1,8,8,3
dBJ42gpO,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,59,No,No,Male,4,3,5,7,4
lXT88kbZ,Southeast,Ward 14,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,78,No,No,Male,9,3,8,8,3
iOS25klW,Southwest,Ward 11,Don't Know,Own,Some post secondary or college diploma,60,No,No,Female,6,2,4,7,4
gJW39vpW,Northwest,Ward 2,Don't Know,Own,Completed university degree or post-grad degree,55,No,No,Female,8,3,8,7,4
kEL42gpM,Southwest,Ward 5,"Less than $30,000",Rent,Some post secondary or college diploma,70,No,Don't Know,Female,7,1,6,9,2
tNL66ffV,Southwest,Ward 11,Don't Know,Own,Completed university degree or post-grad degree,66,No,Yes,Female,9,3,10,9,3
xRN35ymW,Southwest,Ward 13,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,82,No,No,Female,5,3,7,6,1
wZG41pjL,Southwest,Ward 11,"$60,000 to just under $75,000",Neither,Some post secondary or college diploma,27,No,No,Female,9,1,7,10,4
sYD48gbQ,Southwest,Ward 11,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,72,No,No,Male,8,2,8,10,4
rZM57ipF,Southwest,Ward 11,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,68,No,No,Male,7,2,8,9,4
bTY81ncP,Southwest,Ward 13,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,45,Yes,Yes,Female,7,3,2,5,3
wET56ghL,Southwest,Ward 11,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,67,No,No,Female,8,2,8,10,4
xEY83loP,Southwest,Ward 11,"$30,000 to just under $45,000",Own,Completed high school or less,85,No,No,Female,10,2,10,10,4
hMC41pyN,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,42,Yes,No,Male,8,2,9,9,3
rIS85vpK,Southwest,Ward 8,"$60,000 to just under $75,000",Rent,Completed high school or less,63,No,No,Male,8,1,10,10,4
xQK51ibV,Southwest,Ward 11,"$120,000 and over (Net)",Own,Some post secondary or college diploma,58,No,No,Male,8,3,5,7,3
nIT38tvK,Southwest,Ward 11,Don't Know,Own,Some post secondary or college diploma,52,No,No,Male,9,2,2,9,4
uPN79khA,Southwest,Ward 6,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,78,No,No,Female,8,3,4,6,1
iSP54wkZ,Southeast,Ward 11,"$30,000 to just under $45,000",Own,Completed high school or less,58,No,No,Female,8,2,10,10,4
dYG92cyP,Southwest,Ward 11,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,75,No,No,Male,8,3,7,8,4
uRI60wvI,Northeast,Ward 10,"Less than $30,000",Rent,Completed high school or less,47,No,No,Female,8,2,5,5,3
cAJ18gxR,Northeast,Ward 10,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,51,No,Yes,Female,9,2,7,10,3
eOQ76sbT,Northwest,Ward 1,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,77,No,No,Male,6,2,6,7,3
mUK92ylF,Northeast,Ward 10,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,46,No,No,Female,10,2,10,10,2
iST50zxP,Southwest,Ward 6,"$105,000 to just under $120,000",Neither,Completed high school or less,19,No,Yes,Female,9,1,7,8,3
iRP63vsM,Northeast,Ward 4,"$90,000 to just under $105,000",Rent,Some post secondary or college diploma,28,No,Yes,Female,8,1,5,7,4
cNC59bkR,Northwest,Ward 2,"$45,000 to just under $60,000",Own,Completed high school or less,68,No,No,Female,7,3,2,4,3
vXZ24plA,Northeast,Ward 5,"$120,000 and over (Net)",Own,Some post secondary or college diploma,92,No,Don't Know,Female,9,1,10,10,2
lZJ90bcR,Northeast,Ward 7,"$120,000 and over (Net)",Rent,Some post secondary or college diploma,47,No,No,Male,8,2,9,10,4
aSS15cxW,Southwest,Ward 8,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,75,No,No,Female,7,2,8,8,2
sHA60esC,Northeast,Ward 10,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,58,No,No,Female,8,2,7,7,3
jUO73iwC,Northeast,Ward 5,"$60,000 to just under $75,000",Neither,Some post secondary or college diploma,24,No,No,Female,8,3,8,8,1
uUM39fcL,Southeast,Ward 14,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,43,Yes,No,Female,7,3,7,9,3
cPF13lxK,Southeast,Ward 9,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,19,Yes,No,Female,8,3,10,10,3
xLW20ziU,Southwest,Ward 13,"$30,000 to just under $45,000",Own,Completed high school or less,48,No,No,Male,8,2,10,10,4
sAE56mrS,Southeast,Ward 9,"$120,000 and over (Net)",Rent,Completed university degree or post-grad degree,40,Yes,Don't Know,Female,8,3,9,10,3
eVG59ayE,Northwest,Ward 3,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,65,No,No,Male,7,2,7,8,3
hZY45raP,Northeast,Ward 10,Don't Know,Own,Completed university degree or post-grad degree,20,No,No,Female,8,2,9,9,3
wZA64noD,Northeast,Ward 10,"$120,000 and over (Net)",Own,Some post secondary or college diploma,49,Yes,No,Male,4,3,5,5,4
sWL76imA,Southeast,Ward 9,"Less than $30,000",Rent,Completed high school or less,52,No,Yes,Female,7,3,5,5,1
sKN34ypC,Northeast,Ward 5,"$30,000 to just under $45,000",Own,Completed university degree or post-grad degree,,Yes,Yes,Male,3,2,7,8,2
fED65plN,Southeast,Ward 12,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,48,Yes,No,Female,8,3,2,8,4
kSC79kjP,Southeast,Ward 12,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,43,Yes,Yes,Male,9,2,9,10,4
jVQ87pmM,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,60,Yes,No,Male,8,2,7,5,4
rHH96uuO,Northeast,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,50,Yes,No,Male,8,3,8,7,4
pNG50tnP,Northeast,Ward 10,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,36,Yes,Yes,Male,8,3,10,10,4
fXO69giM,Northwest,Ward 3,Don't Know,Own,Completed university degree or post-grad degree,65,No,No,Male,8,2,9,10,4
mKE79fiY,Southeast,Ward 9,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,22,No,No,Male,8,1,10,10,3
vTP36ttN,Southeast,Ward 9,"$105,000 to just under $120,000",Own,Completed high school or less,46,Yes,No,Female,7,3,7,8,2
lBV17iiS,Southeast,Ward 9,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,78,No,No,Female,6,3,5,6,3
kJX10tfQ,Northwest,Ward 4,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,78,No,No,Female,8,1,9,7,4
tPD73voM,Southeast,Ward 9,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,70,No,No,Female,4,3,4,4,4
fDW62rlM,Southeast,Ward 9,"$75,000 to just under $90,000",Own,Completed high school or less,60,No,Don't Know,Female,6,3,8,7,1
kRY33vzW,Northeast,Ward 5,"$75,000 to just under $90,000",Own,Some post secondary or college diploma,49,No,No,Male,9,3,9,9,3
sYO73mjW,Southeast,Ward 9,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,67,No,No,Female,7,1,10,10,3
iVU76coO,Southeast,Ward 9,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,71,No,No,Female,8,3,4,7,3
rOO92faK,Southeast,Ward 9,Don't Know,Own,Some post secondary or college diploma,66,No,No,Male,8,3,5,7,2
zGA74mhJ,Northeast,Ward 10,"$105,000 to just under $120,000",Own,Completed high school or less,46,Yes,No,Female,5,3,6,8,1
rOD71etO,Southeast,Ward 9,"Less than $30,000",Own,Completed high school or less,75,No,Yes,Male,5,3,6,8,3
mHC37wxF,Northeast,Ward 10,"Less than $30,000",Own,Completed high school or less,63,No,No,Female,4,3,5,5,4
xRU87edA,Southeast,Ward 9,"$45,000 to just under $60,000",Rent,Completed high school or less,65,No,Yes,Female,6,3,10,10,1
sUE55xdJ,Southwest,Ward 8,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,75,No,No,Female,7,3,7,7,3
cHY18ivD,Northeast,Ward 10,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,52,Yes,No,Male,9,2,7,9,3
sYT10gmF,Northeast,Ward 5,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,59,No,No,Female,3,3,5,6,1
lRF39bbN,Southwest,Ward 6,"$75,000 to just under $90,000",Own,Completed high school or less,19,No,No,Male,9,1,9,8,3
bDS31gnN,Northeast,Ward 10,Don't Know,Own,Completed high school or less,81,No,No,Male,7,3,10,9,3
eRQ69auU,Northwest,Ward 4,"$45,000 to just under $60,000",Rent,Some post secondary or college diploma,60,No,No,Male,6,4,2,7,3
zRV57fxQ,Southeast,Ward 14,"$90,000 to just under $105,000",Own,Completed university degree or post-grad degree,38,No,No,Male,7,3,7,8,4
iAE67dhT,Southwest,Ward 6,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,62,No,No,Female,7,3,3,6,3
mZX60zpW,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,72,No,No,Male,9,3,8,10,4
cHS79xgB,Southwest,Ward 6,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,49,No,No,Male,8,2,9,10,4
hWR37khP,Southwest,Ward 6,"$90,000 to just under $105,000",Rent,Completed high school or less,81,No,No,Female,8,2,7,8,4
bBC23vcC,Southeast,Ward 12,"$60,000 to just under $75,000",Own,Completed university degree or post-grad degree,47,No,No,Female,8,2,8,8,4
fKZ85tbN,Southwest,Ward 6,Don't Know,Own,Completed university degree or post-grad degree,,No,No,Female,7,3,6,7,2
qSL17csG,Southeast,Ward 14,"$120,000 and over (Net)",Own,Some post secondary or college diploma,52,No,Yes,Female,10,2,10,10,4
xBN62nqT,Southwest,Ward 8,Don't Know,Own,Completed university degree or post-grad degree,66,No,No,Female,9,2,8,8,3
uAN64doF,Southwest,Ward 6,"$105,000 to just under $120,000",Own,Some post secondary or college diploma,43,No,No,Male,7,3,8,7,4
cZD25huM,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,86,No,No,Male,9,2,9,9,3
yBX95rkC,Southwest,Ward 6,"$30,000 to just under $45,000",Own,Completed high school or less,73,No,Don't Know,Female,7,2,8,9,4
xYV24idS,Northwest,Ward 2,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,60,No,No,Female,7,3,6,10,2
sQT90yhC,Southwest,Ward 8,"$45,000 to just under $60,000",Own,Some post secondary or college diploma,67,No,No,Female,7,2,7,8,4
yNX95hqK,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,66,No,No,Male,8,2,9,9,4
kKB71llV,Southwest,Ward 11,Don't Know,Own,Some post secondary or college diploma,69,No,No,Female,8,1,7,8,3
rWW93siB,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,53,Yes,No,Male,8,2,8,8,4
gMV56rhG,Southwest,Ward 11,Don't Know,Own,Completed high school or less,84,No,No,Female,9,3,5,8,2
qIW40xwE,Southwest,Ward 11,Don't Know,Own,Completed university degree or post-grad degree,55,No,No,Female,7,2,7,7,4
wNH19deB,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,40,Yes,No,Female,8,2,6,8,3
mER52yyC,Northeast,Ward 10,Don't Know,Own,Completed high school or less,61,No,No,Female,7,3,6,9,2
yUM45xnB,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,47,Yes,No,Male,8,1,8,8,4
hJH35kxS,Southeast,Ward 14,"$45,000 to just under $60,000",Own,Completed high school or less,41,Yes,No,Female,7,2,6,7,4
lOV39ldO,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,40,Yes,No,Female,8,2,8,8,3
uOY85efD,Southeast,Ward 12,Don't Know,Own,Some post secondary or college diploma,57,No,Yes,Female,8,3,7,10,4
jGB64nwG,Southwest,Ward 6,"$30,000 to just under $45,000",Own,Completed high school or less,78,No,No,Female,8,3,10,10,2
bYU40ypB,Northwest,Ward 1,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,66,No,No,Female,8,2,8,8,4
jCU53pvN,Northwest,Ward 7,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,,No,Don't Know,Female,6,1,7,7,4
qCQ58tpS,Northwest,Ward 4,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,51,Yes,No,Female,8,2,8,8,4
yMY17sbT,Northwest,Ward 7,"$30,000 to just under $45,000",Own,Some post secondary or college diploma,70,No,Yes,Male,7,3,9,7,4
fZB45foY,Northwest,Ward 4,Don't Know,Own,Some post secondary or college diploma,63,No,No,Female,7,2,7,7,3
xKX40bdI,Southwest,Ward 6,"$120,000 and over (Net)",Own,Some post secondary or college diploma,61,No,No,Female,8,3,8,8,3
cOG41aoN,Northeast,Ward 9,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,60,No,No,Male,9,1,6,8,4
jBL80ayD,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,68,No,No,Female,6,3,6,6,2
vXD50lyH,Southwest,Ward 11,"Less than $30,000",Rent,Completed high school or less,68,No,No,Male,10,1,10,10,4
tMK60nuB,Northwest,Ward 1,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,42,Yes,No,Male,7,2,6,7,4
tIW76rfV,Southwest,Ward 6,Don't Know,Own,Completed university degree or post-grad degree,43,Yes,No,Female,8,3,6,7,3
lKC88feS,Southwest,Ward 6,"$120,000 and over (Net)",Own,Completed university degree or post-grad degree,50,Yes,No,Female,9,2,10,10,4
kLE76aeJ,Northeast,Ward 10,"$60,000 to just under $75,000",Rent,Some post secondary or college diploma,63,No,Yes,Male,8,2,8,8,4
iVT76byV,Northwest,Ward 7,"$45,000 to just under $60,000",Own,Completed university degree or post-grad degree,70,No,No,Female,8,2,4,5,4
aTC99uoD,Southeast,Ward 7,"Less than $30,000",Rent,Some post secondary or college diploma,70,No,No,Male,6,3,3,4,3
gUP44fmQ,Northwest,Ward 4,"$120,000 and over (Net)",Own,Some post secondary or college diploma,51,No,No,Male,4,3,1,1,1
jCS93wgE,Northwest,Ward 3,"$105,000 to just under $120,000",Own,Completed university degree or post-grad degree,41,Yes,Yes,Female,9,2,5,8,3
kZR55srZ,Northeast,Ward 5,"$120,000 and over (Net)",Own,Completed high school or less,49,Yes,No,Female,8,3,7,8,4
yCY87fgX,Northwest,Ward 7,"$90,000 to just under $105,000",Rent,Completed university degree or post-grad degree,56,No,No,Male,4,3,3,2,2
nNX39fyR,Southeast,Ward 9,"$90,000 to just under $105,000",Own,Some post secondary or college diploma,67,No,No,Male,6,3,7,10,2
mTZ78qoH,Southwest,Ward 11,"$60,000 to just under $75,000",Own,Some post secondary or college diploma,76,No,No,Female,7,3,6,8,3
sJJ67hyM,Northwest,Ward 4,"$60,000 to just under $75,000",Own,Completed high school or less,74,No,No,Female,10,2,10,10,4
nGE17azW,Southwest,Ward 8,"$75,000 to just under $90,000",Own,Completed university degree or post-grad degree,45,No,No,Female,8,3,6,6,3
mGT33duF,Southwest,Ward 8,"$90,000 to just under $105,000",Own,Completed high school or less,18,Yes,No,Male,7,1,6,7,4
